2025-04-06 17:07:55 | User: root | File/Action: Disk Imaging Started | Disk Image: amany .img | Details: Device: /dev/sdc, Output: /home/hack/AutoChain-main/amany .img
2025-04-06 17:12:14 | User: root | File/Action: Disk Imaging Started | Disk Image: ehab.img | Details: Device: /dev/sdc, Output: /home/hack/AutoChain-main/ehab.img
2025-04-06 17:19:14 | User: root | File/Action: Disk Imaging Started | Disk Image: ehab.img | Details: Device: /dev/sdc, Output: /home/hack/AutoChain-main/ehab.img
2025-04-06 17:21:21 | User: root | File/Action: Disk Imaging Started | Disk Image: ehab.img | Details: Device: /dev/sdc, Output: /home/hack/AutoChain-main/ehab.img
2025-04-06 17:23:37 | User: root | File/Action: Disk Imaging Started | Disk Image: ehab.img | Details: Device: /dev/sdc, Output: /home/hack/AutoChain-main/ehab.img
2025-04-06 17:42:12 | User: root | File/Action: Disk Imaging Started | Disk Image: amany.img | Details: Device: /dev/sdc, Output: /home/hack/AutoChain-main/amany.img
2025-04-06 17:51:12 | User: root | File/Action: Disk Imaging Started | Disk Image: ali.img | Details: Device: /dev/sdc, Output: /home/hack/AutoChain-main/ali.img
2025-04-06 18:01:34 | User: root | File/Action: Disk Imaging Started | Disk Image: ehab.img | Details: Device: /dev/sdc, Output: /home/hack/AutoChain-main/ehab.img
2025-04-06 18:05:29 | User: root | File/Action: Disk Imaging Started | Disk Image: amany.img | Details: Device: /dev/sdc, Output: /home/hack/AutoChain-main/amany.img
2025-04-06 18:07:16 | User: root | File/Action: Disk Imaging Started | Disk Image: ali.img | Details: Device: /dev/sdc, Output: /home/hack/AutoChain-main/ali.img
2025-04-06 18:15:49 | User: root | File/Action: Disk Imaging Started | Disk Image: amanyy.img | Details: Device: /dev/sdc, Output: /home/hack/AutoChain-main/amanyy.img
2025-04-06 18:47:11 | User: root | File/Action: Disk Imaging Started | Disk Image: ehab.img | Details: Device: /dev/sdc, Output: /home/hack/AutoChain-main/ehab.img
Date & Time: 2025-04-06 19:20:32 | Case ID: 0000 | Name: ehab | Country: Egypt | State: Cairo | Zip Code: 11865 | Signature: ehab | Image File: ehab.img | Image Size: 6632.00 MB | MD5: d0092ebe0ccc779df392dc0150d9e404 | SHA-256: e6827c2089b7dc39da82f5f45f44becaf9f99c4e33e39a88cfccda167a93ec28 | Additional Feedback: 
2025-04-11 02:21:12 | User: root | File/Action: Disk Imaging Started | Disk Image: love.img | Details: Device: /dev/sda, Output: /home/hack/AutoChain-main/love.img
2025-04-11 02:21:37 | User: root | File/Action: Disk Imaging Started | Disk Image: love.img | Details: Device: /dev/sda, Output: /home/hack/AutoChain-main/love.img
2025-04-11 02:21:43 | User: root | File/Action: Disk Imaging Started | Disk Image: love.img | Details: Device: /dev/sda, Output: /home/hack/AutoChain-main/love.img
2025-04-11 02:21:56 | User: root | File/Action: Disk Imaging Started | Disk Image: love.img | Details: Device: /dev/sda, Output: /home/hack/AutoChain-main/love.img
2025-04-11 02:23:06 | User: root | File/Action: Disk Imaging Started | Disk Image: love.img | Details: Device: /dev/sdd, Output: /home/hack/AutoChain-main/love.img
Date & Time: 2025-04-11 02:26:49 | Case ID: 1919 | Name: amany  | Country: Egypt | State: Cairo | Zip Code: 11865 | Signature: ehab reda  | Image File: love.img | Image Size: 5844.00 MB | MD5: ae7eff52403ecc5bf96ed996360ab573 | SHA-256: 0ece6e278e1c05acd2e1a3f567620b7e1bd1fc369a4348a1b36ecf6a0eee5f15 | Additional Feedback: 
2025-04-13 13:48:47 | User: root | File/Action: Disk Imaging Started | Disk Image: mmm.img | Details: Device: /dev/sda, Output: /home/hack/AutoChain-main/mmm.img
